saving training to: data\run_025.pth
Epoch: 0 | Score: 6 | Best Score: 6 | Step: 31
Epoch: 1 | Score: 4 | Best Score: 6 | Step: 21
Epoch: 2 | Score: 5 | Best Score: 6 | Step: 26
Epoch: 3 | Score: 7 | Best Score: 7 | Step: 38
Epoch: 4 | Score: 5 | Best Score: 7 | Step: 29
Epoch: 5 | Score: 5 | Best Score: 7 | Step: 26
Epoch: 6 | Score: 11 | Best Score: 11 | Step: 58
Epoch: 7 | Score: 3 | Best Score: 11 | Step: 19
Epoch: 8 | Score: 11 | Best Score: 11 | Step: 59
Epoch: 9 | Score: 3 | Best Score: 11 | Step: 15
Epoch: 10 | Score: 0 | Best Score: 11 | Step: 4
Epoch: 11 | Score: 0 | Best Score: 11 | Step: 3
Epoch: 12 | Score: 9 | Best Score: 11 | Step: 47
Epoch: 13 | Score: 6 | Best Score: 11 | Step: 34
Epoch: 14 | Score: 6 | Best Score: 11 | Step: 32
Epoch: 15 | Score: 24 | Best Score: 24 | Step: 121
Epoch: 16 | Score: 7 | Best Score: 24 | Step: 37
Epoch: 17 | Score: 1 | Best Score: 24 | Step: 8
Epoch: 18 | Score: 6 | Best Score: 24 | Step: 31
Epoch: 19 | Score: 4 | Best Score: 24 | Step: 22
Epoch: 20 | Score: 9 | Best Score: 24 | Step: 47
Epoch: 21 | Score: 4 | Best Score: 24 | Step: 21
Epoch: 22 | Score: 5 | Best Score: 24 | Step: 29
Epoch: 23 | Score: 1 | Best Score: 24 | Step: 5
Epoch: 24 | Score: 5 | Best Score: 24 | Step: 26
Epoch: 25 | Score: 8 | Best Score: 24 | Step: 40
Epoch: 26 | Score: 4 | Best Score: 24 | Step: 20
Epoch: 27 | Score: 2 | Best Score: 24 | Step: 11
Epoch: 28 | Score: 3 | Best Score: 24 | Step: 19
Epoch: 29 | Score: 7 | Best Score: 24 | Step: 35
Epoch: 30 | Score: 4 | Best Score: 24 | Step: 22
Epoch: 31 | Score: 9 | Best Score: 24 | Step: 46
Epoch: 32 | Score: 8 | Best Score: 24 | Step: 40
Epoch: 33 | Score: 14 | Best Score: 24 | Step: 72
Epoch: 34 | Score: 2 | Best Score: 24 | Step: 13
Epoch: 35 | Score: 5 | Best Score: 24 | Step: 29
Epoch: 36 | Score: 14 | Best Score: 24 | Step: 71
