2026-05-05 12:02:04,188 INFO    MainThread:1940 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_setup.py:_flush():81] Configure stats pid to 1940
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_init.py:setup_run_log_directory():723] Logging user logs to C:\Users\Koren\New\game_rollingsky\wandb\run-20260505_120204-lf53w7ws\logs\debug.log
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to C:\Users\Koren\New\game_rollingsky\wandb\run-20260505_120204-lf53w7ws\logs\debug-internal.log
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_init.py:init():850] calling init triggers
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'epochs': 500000, 'batch': 64, 'lr': 0.002, 'gamma': 0.99, 'C': 500, '_wandb': {}}
2026-05-05 12:02:04,189 INFO    MainThread:1940 [wandb_init.py:init():898] starting backend
2026-05-05 12:02:06,484 INFO    MainThread:1940 [wandb_init.py:init():913] sending inform_init request
2026-05-05 12:02:06,861 INFO    MainThread:1940 [wandb_init.py:init():918] backend started and connected
2026-05-05 12:02:06,871 INFO    MainThread:1940 [wandb_init.py:init():988] updated telemetry
2026-05-05 12:02:06,898 INFO    MainThread:1940 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-05 12:02:07,319 INFO    MainThread:1940 [wandb_init.py:init():1056] starting run threads in backend
2026-05-05 12:02:07,377 INFO    MainThread:1940 [wandb_run.py:_console_start():2554] atexit reg
2026-05-05 12:02:07,377 INFO    MainThread:1940 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-05 12:02:07,377 INFO    MainThread:1940 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-05 12:02:07,377 INFO    MainThread:1940 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-05 12:02:07,379 INFO    MainThread:1940 [wandb_init.py:init():1094] run started, returning control to user process
2026-05-05 12:05:20,680 INFO    wandb-AsyncioManager-main:1940 [service_client.py:_forward_responses():134] Reached EOF.
2026-05-05 12:05:20,680 INFO    wandb-AsyncioManager-main:1940 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
